"MF88 Central Supply + Individual Exhaust (SZHP)  /  Proposed  /  EX01b_MF88_CSUP_IEXH_SZHP_CZ09.cibd25x",002
"Wed 23-Sep-26   1:31:42 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPBU","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",181.475,0,4.07008,0.094408,51.7909,0,0.163783,0,0,10.967,14.9651,6.20579,0,5.8374,51.3333,0,15.4971,0,18.5615,0,1.13058,0,0.858434,0,0
"MtrElec",1,1,2,"",113.525,0,5.30786,0,0,0,0.163783,0,0,10.967,14.9649,6.15954,0,4.8222,47.2797,0,14.7453,2.47506,0,0,0.904462,0,5.73531,0,0
"MtrElec",1,1,3,"",109.772,0,5.96042,0.118111,0,0,0.163783,0,0,10.967,14.965,6.13689,0,3.807,44.8524,0,14.4508,0,0,0,0.678346,0,7.67195,0,0
"MtrElec",1,1,4,"",111.973,0,6.73081,0.781058,0,0,0.163783,0,0.00496572,10.967,14.965,6.12556,0,4.3146,44.7245,0,14.0885,0,0,0,0.678346,0,8.42894,0,0
"MtrElec",1,1,5,"",110.881,0,7.46927,1.015,0,0,0.163783,0,0.0421061,10.967,14.965,6.12426,0,5.3298,42.5129,0,13.6586,0,0,0,0.678346,0,7.95484,0,0
"MtrElec",1,1,6,"",175.824,0,7.98666,1.33921,63.5498,0,0.163783,0,0.060485,10.967,14.965,6.11456,0,7.8678,46.3646,0,13.5854,0,0,0,1.13058,0,1.72901,0,0
"MtrElec",1,1,7,"",157.794,0,8.50003,1.75253,32.9631,0,0.163783,0,0.071314,10.967,14.965,6.10977,0,10.6596,52.2089,0,13.9521,1.40649,0,1.81286,2.26115,0,0,0,0
"MtrElec",1,1,8,"",231.531,0,7.46416,1.41467,79.7129,0,0.163783,0,0.0547092,10.967,14.965,6.10694,0,10.4058,56.9195,0,15.0835,1.06891,15.3229,5.77618,6.10511,0,0,0,0
"MtrElec",1,1,9,"",326.535,0,5.77104,0.271885,139.814,0,0.163783,0,0.0381136,10.967,14.965,6.11214,0,8.6292,53.744,0,16.9397,0,48.8224,9.44234,10.8535,0,0,0,0
"MtrElec",1,1,10,"",336.245,0,3.94821,0,115.128,0,0.163783,0,0.021672,10.967,14.9652,0.146141,0,7.3602,51.7744,0,16.6708,6.04963,79.8101,18.3867,10.8535,0,0,0,0
"MtrElec",1,1,11,"",320.717,0,2.09786,0,25.0033,0,0.163783,0,0,10.967,14.9652,0,0,6.8526,52.8005,0,16.4217,10.2429,155.411,15.3894,10.4013,0,0,0,0
"MtrElec",1,1,12,"",393.326,0,1.09363,0,133.145,0,0.163783,0,0.00313565,10.967,14.9654,0,0,6.345,52.0002,0,16.7923,4.96314,130.077,10.3739,12.4363,0,0,0,0
"MtrElec",1,1,13,"",297.037,0,0.397051,0,73.5501,0,0.163783,0,0.000394208,10.967,14.9653,0,0,5.3298,53.1487,0,17.1415,10.9151,87.6841,8.52904,14.2453,0,0,0,0
"MtrElec",1,1,14,"",197.634,0,0.198507,0,4.58274,0,0.163783,0,0,10.967,14.9652,0,0,5.3298,54.647,0,17.3573,0,72.0906,3.99134,13.3408,0,0,0,0
"MtrElec",1,1,15,"",210.097,0,0.0781108,0,54.6184,0,0.163783,0,0,10.967,14.9652,0,0,5.3298,57.1222,0,17.1259,0,33.7363,1.97117,14.0191,0,0,0,0
"MtrElec",1,1,16,"",187.155,0,0.193884,0,38.3999,0,0.163783,0,0,10.967,14.9652,0,0,6.5988,59.8622,0,17.4369,0,16.6611,6.53062,15.3758,0,0,0,0
"MtrElec",1,1,17,"",241.557,0,0.587917,0,39.4453,0,0.163783,0,0,10.967,14.9652,0,0,7.8678,66.6719,0,17.239,0,55.1992,7.87351,20.5765,0,0,0,0
"MtrElec",1,1,18,"",302.145,0,1.06679,0,60.0872,0,0.163783,0,0,10.967,14.9652,0,0,11.1672,74.336,0,18.1913,3.64801,66.5499,9.57232,31.43,0,0,0,0
"MtrElec",1,1,19,"",366.829,0,1.68502,0,98.6401,0,0.163783,0,0,10.967,14.9653,0.0795228,0,21.3192,79.8369,0,19.392,5.70828,80.9088,3.99394,29.1689,0,0,0,0
"MtrElec",1,1,20,"",290.728,0,2.16393,0,67.9377,0,0.163783,0,0,10.967,14.9654,0.444611,0,29.6946,82.9684,0,19.051,10.4467,33.7583,1.88629,16.2803,0,0,0,0
"MtrElec",1,1,21,"",270.755,0,2.22848,0,82.2766,0,0.163783,0,0,10.967,14.9653,0.428141,0,28.6794,86.0232,0,18.5998,1.1769,15.9436,2.06695,7.23569,0,0,0,0
"MtrElec",1,1,22,"",233.827,0,2.22586,0,52.7377,0,0.163783,0,0,10.967,14.9653,0,0,24.3648,85.0899,0,17.8503,1.2979,17.4706,3.52809,3.16561,0,0,0,0
"MtrElec",1,1,23,"",174.841,0,2.72163,0,0,0,0.163783,0,0,10.967,14.9653,0.0629056,0,15.9894,73.9478,0,16.5727,4.94855,29.8207,2.64597,2.03504,0,0,0,0
"MtrElec",1,1,24,"",203.448,0,3.75176,0,55.5617,0,0.163783,0,0.0222748,10.967,14.9652,0.360501,0,9.8982,62.7554,0,16.5572,4.95004,22.3647,0,1.13058,0,0,0,0
"MtrElec",1,2,1,"",116.252,0,5.06451,0,0,0,0.163783,0,0.0502217,10.967,14.9652,6.14257,0,5.8374,51.197,0,14.9944,2.47455,0,0,1.13058,0,3.2648,0,0
"MtrElec",1,2,2,"",114.258,0,5.70684,0,0,0,0.163783,0,0.0590347,10.967,14.9651,6.11246,0,4.8222,46.7506,0,14.5496,1.69764,0,0,0.904462,0,7.55887,0,0
"MtrElec",1,2,3,"",111.064,0,6.31509,0,0.781739,0,0.163783,0,0.0876641,10.967,14.9651,6.11057,0,3.807,44.988,0,14.068,3.25256,0,0.385447,0.904462,0,4.26704,0,0
"MtrElec",1,2,4,"",116.576,0,7.29765,0,2.19415,0,0.163783,0,0.11788,10.967,14.9651,6.1057,0,4.3146,44.7238,0,13.8387,0,3.25794,0.496546,0.904462,0,7.22863,0,0
"MtrElec",1,2,5,"",117.574,0,7.47314,0,4.3834,0,0.163783,0,0.127918,10.967,14.9651,6.09983,0,5.3298,42.6485,0,13.4847,0,4.19699,0,0.904462,0,6.82969,0,0
"MtrElec",1,2,6,"",162.398,0,6.56729,0,48.9951,0,0.163783,0,0.0942243,10.967,14.9651,6.09801,0,7.8678,46.6061,0,14.0009,0,0,0,3.16561,0,2.90695,0,0
"MtrElec",1,2,7,"",195.832,0,5.81549,0,72.2102,0,0.163783,0,0.069451,10.967,14.9651,6.10497,0,10.6596,54.526,0,15.5863,0,0,0.468189,4.29619,0,0,0,0
"MtrElec",1,2,8,"",272.14,0,5.85714,0,128.232,0,0.163783,0,0.0892987,10.967,14.9651,6.11003,0,10.4058,60.4814,0,16.9667,2.58527,3.95731,5.70603,5.65288,0,0,0,0
"MtrElec",1,2,9,"",265.882,0,4.75367,0,80.7801,0,0.163783,0,0.113096,10.967,14.9651,6.1402,0,8.6292,59.3392,0,16.504,6.10072,48.2295,3.31761,5.879,0,0,0,0
"MtrElec",1,2,10,"",246.055,0,3.16154,0,83.3067,0,0.163783,0,0.121439,10.967,14.9649,0,0,7.3602,58.8664,0,15.372,9.3224,28.0416,9.43204,4.97454,0,0,0,0
"MtrElec",1,2,11,"",308.566,0,2.60473,0,101.804,0,0.163783,0,0.0919736,10.967,14.9651,0,0,6.8526,59.1677,0,14.9593,5.7197,79.7231,6.79933,4.74842,0,0,0,0
"MtrElec",1,2,12,"",187.864,0,2.07741,0,8.94314,0,0.163783,0,0.0824793,10.967,14.9651,0,0,6.345,59.1677,0,15.1178,5.26854,57.4705,0.738297,6.55734,0,0,0,0
"MtrElec",1,2,13,"",190.317,0,2.04587,0,64.2629,0,0.163783,0,0.0716862,10.967,14.9651,0,0,5.3298,59.2479,0,15.5141,3.18173,6.24036,0.412509,7.91404,0,0,0,0
"MtrElec",1,2,14,"",172.265,0,2.44004,0,51.4997,0,0.163783,0,0.0989084,10.967,14.9651,0.0747042,0,5.3298,60.3533,0,15.181,0,3.48668,0.469537,7.23569,0,0,0,0
"MtrElec",1,2,15,"",152.262,0,2.72698,0,19.8253,0,0.163783,0,0.104798,10.967,14.9652,6.2921,0,5.3298,62.172,0,15.3449,2.47465,3.9687,0.238764,7.68792,0,0,0,0
"MtrElec",1,2,16,"",180.094,0,3.16315,0,42.4397,0,0.163783,0,0.127519,10.967,14.9652,6.29082,0,6.5988,63.7188,0,15.4749,0,2.01812,2.40773,11.758,0,0,0,0
"MtrElec",1,2,17,"",227.785,0,3.50099,0.0475939,49.5257,0,0.163783,0,0.131117,10.967,14.9652,6.28593,0,7.8678,70.6647,0,15.9288,0.530617,20.3511,0.851233,26.0033,0,0,0,0
"MtrElec",1,2,18,"",220.493,0,3.80973,0.366685,18.1775,0,0.163783,0,0.118232,10.967,14.9652,6.23179,0,11.1672,76.6157,0,17.423,6.12925,7.19494,3.52304,43.6403,0,0,0,0
"MtrElec",1,2,19,"",292.977,0,3.60631,0.123654,58.6199,0,0.163783,0,0.0654417,10.967,14.9652,6.20395,0,21.3192,81.4779,0,18.8282,3.64857,29.7781,2.50869,40.7008,0,0,0,0
"MtrElec",1,2,20,"",290.973,0,2.90905,0,67.2257,0,0.163783,0,0.0086447,10.967,14.9652,6.20575,0,29.6946,85.7687,0,18.8291,4.19983,21.2043,6.67204,22.1593,0,0,0,0
"MtrElec",1,2,21,"",324.043,0,3.52675,0.261052,71.6459,0,0.163783,0,0.0133919,10.967,14.9651,6.2067,0,28.6794,88.9865,0,17.9699,9.79747,56.3945,4.96868,9.49684,0,0,0,0
"MtrElec",1,2,22,"",279.75,0,4.84928,0.703905,60.211,0,0.163783,0,0.0250729,10.967,14.9651,6.13804,0,24.3648,87.7289,0,17.1729,1.95897,41.9971,3.98203,4.52231,0,0,0,0
"MtrElec",1,2,23,"",259.504,0,7.57693,1.36665,69.8162,0,0.163783,0,0.0958342,10.967,14.965,6.1223,0,15.9894,75.7196,0,16.0917,0.958384,33.6576,3.29997,2.71338,0,0,0,0
"MtrElec",1,2,24,"",167.501,0,10.2469,2.02285,0,0,0.163783,0,0.252798,10.967,14.965,6.10623,0,9.8982,63.8372,0,14.8733,2.47529,27.8926,1.53913,2.26115,0,0,0,0
"MtrElec",1,3,1,"",182.693,0,10.9997,1.79894,49.6443,0,0.163783,0,0.331089,10.967,14.965,6.06667,0,5.8374,51.3333,0,15.0324,0,13.0093,0,1.13058,0,1.41318,0,0
"MtrElec",1,3,2,"",118.049,0,11.1458,1.4579,0,0,0.163783,0,0.371645,10.967,14.965,6.04492,0,4.8222,47.2797,0,14.3384,0,0,0,0.904462,0,5.58758,0,0
"MtrElec",1,3,3,"",116.825,0,11.256,1.19936,0,0,0.163783,0,0.405754,10.967,14.965,6.03313,0,3.807,44.8524,0,14.0669,2.93223,0,0,0.678346,0,5.49848,0,0
"MtrElec",1,3,4,"",119.523,0,11.7653,1.21572,0,0,0.163783,0,0.466297,10.967,14.965,6.02325,0,4.3146,44.7245,0,13.7241,2.01875,0,4.41027,0.678346,0,4.086,0,0
"MtrElec",1,3,5,"",153.471,0,13.5461,2.3251,0,0,0.163783,0,0.584607,10.967,14.965,6.00651,0,5.3298,42.5129,0,13.2671,0,37.2773,0,0.678346,0,5.84775,0,0
"MtrElec",1,3,6,"",175.219,0,13.3753,2.60651,53.9402,0,0.163783,0,0.54103,10.967,14.965,5.97503,0,7.8678,46.3646,0,13.1895,0,0,0,1.13058,0,4.13304,0,0
"MtrElec",1,3,7,"",130.155,0,12.2224,2.20676,1.93496,0,0.163783,0,0.435475,10.967,14.965,5.98591,0,10.6596,52.3149,0,13.4922,0,0,1.76386,2.26115,0,0.781765,0,0
"MtrElec",1,3,8,"",215.771,0,12.1282,2.08968,64.8177,0,0.163783,0,0.488682,10.967,14.965,6.01311,0,10.4058,57.1022,0,14.6639,0,14.9088,0.951759,6.10511,0,0,0,0
"MtrElec",1,3,9,"",232.835,0,10.9663,1.49636,79.3112,0,0.163783,0,0.499734,10.967,14.965,5.99939,0,8.6292,54.6987,0,16.6552,4.95078,8.04462,4.63415,10.8535,0,0,0,0
"MtrElec",1,3,10,"",307.375,0,8.87424,0.283434,126.052,0,0.163783,0,0.447323,10.967,14.965,5.99893,0,7.3602,54.5556,0,16.2251,0,39.1696,11.4594,10.8535,0,0,0,0
"MtrElec",1,3,11,"",329.579,0,5.82853,0,98.6271,0,0.163783,0,0.217749,10.967,14.9652,6.01369,0,6.8526,55.5818,0,15.9305,2.55955,96.8591,4.61128,10.4013,0,0,0,0
"MtrElec",1,3,12,"",267.186,0,2.97125,0,91.4673,0,0.163783,0,0.0523302,10.967,14.9651,0,0,6.345,54.7814,0,16.2197,9.50289,38.9762,8.3376,12.4363,0,0,0,0
"MtrElec",1,3,13,"",263.184,0,2.10259,0,64.8709,0,0.163783,0,0.0209552,10.967,14.9652,0,0,5.3298,53.2685,0,16.5209,6.01895,70.4725,4.23754,14.2453,0,0,0,0
"MtrElec",1,3,14,"",239.923,0,1.12797,0,76.7633,0,0.163783,0,0.0000084,10.967,14.9652,0,0,5.3298,54.7668,0,16.7285,1.7221,35.8172,8.2307,13.3408,0,0,0,0
"MtrElec",1,3,15,"",255.25,0,0.928421,0,57.5997,0,0.163783,0,0,10.967,14.9652,0,0,5.3298,57.2419,0,16.5001,4.94981,69.5689,3.01641,14.0191,0,0,0,0
"MtrElec",1,3,16,"",210.103,0,0.898332,0,55.5481,0,0.163783,0,0,10.967,14.9652,0,0,6.5988,59.9819,0,16.9843,0,25.4958,3.12436,15.3758,0,0,0,0
"MtrElec",1,3,17,"",175.235,0,1.06961,0,7.28088,0,0.163783,0,0,10.967,14.9652,0,0,7.8678,66.7916,0,16.5875,0,26.4082,2.55698,20.5765,0,0,0,0
"MtrElec",1,3,18,"",259.855,0,1.47941,0,67.4945,0,0.163783,0,0,10.967,14.9652,0,0,11.1672,74.551,0,17.5978,0,21.6125,8.42699,31.43,0,0,0,0
"MtrElec",1,3,19,"",384.812,0,1.43198,0,128.105,0,0.163783,0,0,10.967,14.9652,0,0,21.3192,79.7447,0,19.0063,3.21988,71.228,5.49195,29.1689,0,0,0,0
"MtrElec",1,3,20,"",270.348,0,1.63304,0,35.9887,0,0.163783,0,0,10.967,14.9652,0,0,29.6946,82.7995,0,18.6443,9.15292,46.42,3.6382,16.2803,0,0,0,0
"MtrElec",1,3,21,"",245.483,0,2.34296,0,35.35,0,0.163783,0,0,10.967,14.9653,0.0629056,0,28.6794,85.8542,0,18.1588,5.21615,30.7514,5.73584,7.23569,0,0,0,0
"MtrElec",1,3,22,"",287.709,0,2.91428,0,68.6254,0,0.163783,0,0.00277012,10.967,14.9653,0.346189,0,24.3648,84.6139,0,17.4325,11.1458,48.4814,0.520187,3.16561,0,0,0,0
"MtrElec",1,3,23,"",226.502,0,3.98515,0,60.242,0,0.163783,0,0,10.967,14.9653,6.19132,0,15.9894,75.606,0,16.0091,11.1045,4.39682,4.84706,2.03504,0,0,0,0
"MtrElec",1,3,24,"",172.801,0,6.72818,0.129512,0,0,0.163783,0,0.0690867,10.967,14.9651,6.13982,0,9.8982,62.7554,0,16.2062,2.23321,40.9691,0.445769,1.13058,0,0,0,0
"MtrElec",1,4,1,"",125.034,0,9.08952,0.829311,0,0,0.163783,0,0.200236,10.967,14.965,6.11289,0,5.8374,51.3333,0,14.9456,0,3.7678,0,1.13058,0,5.69202,0,0
"MtrElec",1,4,2,"",118.48,0,10.7108,1.19445,0,0,0.163783,0,0.339285,10.967,14.965,6.08022,0,4.8222,47.2797,0,14.2489,0,0,0,0.904462,0,6.80437,0,0
"MtrElec",1,4,3,"",119.532,0,12.1468,1.48168,0,0,0.163783,0,0.478307,10.967,14.965,6.03894,0,3.807,44.8524,0,13.9727,4.39834,0,0,0.678346,0,5.58192,0,0
"MtrElec",1,4,4,"",173.639,0,13.8802,1.94699,50.4284,0,0.163783,0,0.660039,10.967,14.965,5.99972,0,4.3146,44.7245,0,13.6222,3.02812,0,3.52822,0.678346,0,4.73157,0,0
"MtrElec",1,4,5,"",151.242,0,16.8377,2.94997,0,0,0.163783,0,0.922541,10.967,14.965,5.93446,0,5.3298,42.5129,0,13.142,0,29.8218,0,0.678346,0,7.01616,0,0
"MtrElec",1,4,6,"",130.046,0,17.2488,3.2915,0,0,0.163783,0,0.960399,10.967,14.965,5.87816,0,7.8678,46.3646,0,13.0559,0,0,0,1.13058,0,8.15238,0,0
"MtrElec",1,4,7,"",190.113,0,16.2776,2.93671,57.5467,0,0.163783,0,0.841854,10.967,14.965,5.86661,0,10.6596,52.2089,0,13.3344,0,0,1.76386,2.26115,0,0.319351,0,0
"MtrElec",1,4,8,"",206.551,0,12.9782,1.86796,54.7292,0,0.163783,0,0.56764,10.967,14.9651,5.89572,0,10.4058,56.9195,0,14.5096,0,14.9088,1.5676,6.10511,0,0,0,0
"MtrElec",1,4,9,"",248.151,0,9.21285,0.196417,90.6983,0,0.163783,0,0.371121,10.967,14.9652,5.97391,0,8.6292,53.744,0,16.5741,4.95078,13.2499,7.60118,10.8535,0,0,0,0
"MtrElec",1,4,10,"",347.901,0,5.74803,0,154.235,0,0.163783,0,0.252675,10.967,14.9652,0,0,7.3602,51.7744,0,16.186,0,64.248,11.1475,10.8535,0,0,0,0
"MtrElec",1,4,11,"",321.242,0,2.77687,0,100.689,0,0.163783,0,0.111965,10.967,14.9653,0,0,6.8526,52.8005,0,15.9753,1.70637,94.223,9.60929,10.4013,0,0,0,0
"MtrElec",1,4,12,"",288.241,0,1.18709,0,64.8861,0,0.163783,0,0.0422655,10.967,14.9654,0,0,6.345,52.0002,0,16.3339,16.7759,81.2212,10.9172,12.4363,0,0,0,0
"MtrElec",1,4,13,"",313.395,0,0.247662,0,95.5028,0,0.163783,0,0.0107279,10.967,14.9658,0,0,5.3298,53.1487,0,16.6916,3.40642,92.276,6.43903,14.2453,0,0,0,0
"MtrElec",1,4,14,"",253.11,0,0.0400235,0,68.1306,0,0.163783,0,0,10.967,14.9657,0,0,5.3298,54.647,0,16.9275,5.33457,54.4251,8.83802,13.3408,0,0,0,0
"MtrElec",1,4,15,"",249.222,0,0.0236941,0,51.7347,0,0.163783,0,0,10.967,14.9655,0,0,5.3298,57.1222,0,16.7243,0,74.7022,3.46927,14.0191,0,0,0,0
"MtrElec",1,4,16,"",209.638,0,0.0123053,0,50.8294,0,0.163783,0,0,10.967,14.9655,0,0,6.5988,59.8622,0,17.1699,0,29.3235,4.37013,15.3758,0,0,0,0
"MtrElec",1,4,17,"",233.782,0,0.0545615,0,52.4056,0,0.163783,0,0,10.967,14.9657,0,0,7.8678,66.6719,0,16.9075,4.9497,36.938,1.31443,20.5765,0,0,0,0
"MtrElec",1,4,18,"",251.718,0,0.373715,0,69.2243,0,0.163783,0,0,10.967,14.9654,0,0,11.1672,74.336,0,17.9281,0,11.11,10.0526,31.43,0,0,0,0
"MtrElec",1,4,19,"",331.334,0,0.689224,0,62.9682,0,0.163783,0,0,10.967,14.9653,0,0,21.3192,79.8369,0,19.2189,3.89008,84.9682,3.17826,29.1689,0,0,0,0
"MtrElec",1,4,20,"",287.909,0,1.06545,0,71.8374,0,0.163783,0,0,10.967,14.9653,0,0,29.6946,82.9684,0,18.8654,10.9566,26.8639,3.28115,16.2803,0,0,0,0
"MtrElec",1,4,21,"",260.49,0,1.52047,0,58.6515,0,0.163783,0,0,10.967,14.9653,0,0,28.6794,86.0232,0,18.4029,4.0077,27.7335,2.13982,7.23569,0,0,0,0
"MtrElec",1,4,22,"",230.283,0,1.9771,0,44.4264,0,0.163783,0,0,10.967,14.9654,0,0,24.3648,85.0899,0,17.6653,8.44744,18.0866,0.963909,3.16561,0,0,0,0
"MtrElec",1,4,23,"",164.999,0,2.46636,0,9.89328,0,0.163783,0,0,10.967,14.9654,0.0795228,0,15.9894,73.9478,0,16.321,7.58785,8.14732,2.43474,2.03504,0,0,0,0
"MtrElec",1,4,24,"",143.658,0,3.27002,0,0,0,0.163783,0,0,10.967,14.9653,0.421214,0,9.8982,62.7554,0,16.3917,2.23321,20.5793,0.882109,1.13058,0,0,0,0
"MtrElec",1,5,1,"",170.961,0,4.62319,0,49.6983,0,0.163783,0,0.0033387,10.967,14.9652,6.17916,0,5.8374,51.197,0,14.7388,0,7.45591,0,1.13058,0,4.00104,0,0
"MtrElec",1,5,2,"",116.449,0,6.26432,0,3.1151,0,0.163783,0,0.0275537,10.967,14.9651,6.12469,0,4.8222,46.7506,0,14.3228,0,0,0,0.904462,0,8.02177,0,0
"MtrElec",1,5,3,"",115.452,0,7.63778,0.136743,0,0,0.163783,0,0.0801362,10.967,14.9651,6.1184,0,3.807,44.988,0,13.8225,4.94929,0,0.770893,0.904462,0,6.14126,0,0
"MtrElec",1,5,4,"",119.646,0,8.8433,0.841794,0,0,0.163783,0,0.15487,10.967,14.965,6.10738,0,4.3146,44.7238,0,13.5865,0,6.51587,0.993093,0.904462,0,6.56458,0,0
"MtrElec",1,5,5,"",119.818,0,9.8715,0.871577,0,0,0.163783,0,0.269627,10.967,14.965,6.09139,0,5.3298,42.6485,0,13.1991,0,8.39398,0,0.904462,0,6.14244,0,0
"MtrElec",1,5,6,"",145.91,0,10.4218,1.17447,27.8032,0,0.163783,0,0.316652,10.967,14.965,6.05972,0,7.8678,46.6061,0,13.6573,0,0,1.49079,3.16561,0,1.25017,0,0
"MtrElec",1,5,7,"",252.033,0,10.044,1.3196,109.025,0,0.163783,0,0.304574,10.967,14.965,6.04718,0,10.6596,54.526,0,15.2931,0,12.6007,1.82137,4.29619,0,0,0,0
"MtrElec",1,5,8,"",257.185,0,8.86847,0.401513,99.5858,0,0.163783,0,0.28969,10.967,14.9651,6.05033,0,10.4058,60.4814,0,16.7323,1.78192,15.3949,5.44367,5.65288,0,0,0,0
"MtrElec",1,5,9,"",256.66,0,4.57925,0,75.4151,0,0.163783,0,0.102562,10.967,14.9652,0.147509,0,8.6292,59.3392,0,16.2451,7.84741,46.0119,6.36774,5.879,0,0,0,0
"MtrElec",1,5,10,"",261.549,0,1.32049,0,67.1603,0,0.163783,0,0.0445887,10.967,14.965,0,0,7.3602,58.8664,0,15.0945,12.4252,53.8225,14.3844,4.97454,0,0,0,0
"MtrElec",1,5,11,"",313.987,0,0.479608,0,68.0546,0,0.163783,0,0.0152851,10.967,14.9652,0,0,6.8526,59.1677,0,14.7769,2.6907,121.583,9.52307,4.74842,0,0,0,0
"MtrElec",1,5,12,"",272.989,0,0.144429,0,66.152,0,0.163783,0,0.00378579,10.967,14.9655,0,0,6.345,59.1677,0,15.024,0,80.4925,13.0059,6.55734,0,0,0,0
"MtrElec",1,5,13,"",280.86,0,0.00384889,0,47.9874,0,0.163783,0,0,10.967,14.9657,0,0,5.3298,59.2479,0,15.4869,7.42442,109.93,1.43864,7.91404,0,0,0,0
"MtrElec",1,5,14,"",128.933,0,0,0,0,0,0.163783,0,0,10.967,14.9655,0,0,5.3298,60.3533,0,15.2064,0,12.1599,2.55139,7.23569,0,0,0,0
"MtrElec",1,5,15,"",197.755,0,0,0,52.3041,0,0.163783,0,0,10.967,14.9654,0,0,5.3298,62.172,0,15.4208,4.95004,21.5653,2.22866,7.68792,0,0,0,0
"MtrElec",1,5,16,"",201.674,0,0,0,48.4227,0,0.163783,0,0,10.967,14.9654,0,0,6.5988,63.7188,0,15.6117,6.21133,18.8375,4.41947,11.758,0,0,0,0
"MtrElec",1,5,17,"",233.792,0,0,0,45.9816,0,0.163783,0,0,10.967,14.9654,0,0,7.8678,70.6647,0,16.1788,2.80397,37.355,0.840926,26.0033,0,0,0,0
"MtrElec",1,5,18,"",239.951,0,0,0,50.0268,0,0.163783,0,0,10.967,14.9656,0,0,11.1672,76.6157,0,17.7537,7.54278,7.10782,0,43.6403,0,0,0,0
"MtrElec",1,5,19,"",247.147,0,0,0,51.0089,0,0.163783,0,0,10.967,14.9652,0,0,21.3192,81.4779,0,19.1419,5.71015,0,1.69264,40.7008,0,0,0,0
"MtrElec",1,5,20,"",281.348,0,0,0,73.4474,0,0.163783,0,0,10.967,14.9652,0,0,29.6946,85.7687,0,19.0761,4.55285,14.3068,6.24578,22.1593,0,0,0,0
"MtrElec",1,5,21,"",269.223,0,0,0,27.8246,0,0.163783,0,0,10.967,14.9653,0,0,28.6794,88.9865,0,18.2575,17.0905,52.7916,0,9.49684,0,0,0,0
"MtrElec",1,5,22,"",215.648,0,0,0,52.155,0,0.163783,0,0,10.967,14.9652,0,0,24.3648,87.7289,0,17.5006,0.634068,0,2.64585,4.52231,0,0,0,0
"MtrElec",1,5,23,"",219.617,0,0,0,56.9835,0,0.163783,0,0,10.967,14.9652,0,0,15.9894,75.7196,0,16.4304,0,22.3637,3.3213,2.71338,0,0,0,0
"MtrElec",1,5,24,"",149.192,0,0,0,0,0,0.163783,0,0,10.967,14.9652,0,0,9.8982,63.8372,0,15.2916,0,28.0728,3.73514,2.26115,0,0,0,0
"MtrElec",1,6,1,"",182.623,0,0.35684,0,47.6715,0,0.163783,0,0,10.967,14.9653,0,0,5.8374,51.197,0,14.925,2.47455,31.5708,0,1.13058,0,1.36324,0,0
"MtrElec",1,6,2,"",103.554,0,1.20581,0,0,0,0.163783,0,0,10.967,14.9653,0,0,4.8222,46.7506,0,14.499,1.69764,0,0,0.904462,0,7.57807,0,0
"MtrElec",1,6,3,"",99.7904,0,2.00637,0,0,0,0.163783,0,0,10.967,14.9653,0,0,3.807,44.988,0,14.018,0.777912,0,0,0.904462,0,7.19248,0,0
"MtrElec",1,6,4,"",100.732,0,2.54604,0,0,0,0.163783,0,0,10.967,14.9653,0,0,4.3146,44.7238,0,13.7801,0,0,0,0.904462,0,8.36725,0,0
"MtrElec",1,6,5,"",96.965,0,3.14385,0,0,0,0.163783,0,0.0172733,10.967,14.9652,0,0,5.3298,42.6485,0,13.4196,0,0,0,0.904462,0,5.40558,0,0
"MtrElec",1,6,6,"",119.579,0,3.34734,0,15.9548,0,0.163783,0,0.0244964,10.967,14.9653,0,0,7.8678,46.6061,0,13.9283,0,0,0.745395,3.16561,0,1.84251,0,0
"MtrElec",1,6,7,"",189.056,0,3.17227,0,67.8747,0,0.163783,0,0.0190869,10.967,14.9653,0,0,10.6596,54.526,0,15.5257,0,6.30035,0.585728,4.29619,0,0,0,0
"MtrElec",1,6,8,"",248.866,0,2.88404,0,115.08,0,0.163783,0,0.0239608,10.967,14.9653,0,0,10.4058,60.4814,0,16.9216,0.803351,4.95079,5.56567,5.65288,0,0,0,0
"MtrElec",1,6,9,"",283.882,0,1.18261,0,104.055,0,0.163783,0,0.0222068,10.967,14.9653,0,0,8.6292,59.3392,0,16.4667,7.88291,47.0431,7.28646,5.879,0,0,0,0
"MtrElec",1,6,10,"",253.019,0,0.0609161,0,61.4593,0,0.163783,0,0.00450062,10.967,14.9655,0,0,7.3602,58.8664,0,15.3689,6.84701,61.5879,10.3936,4.97454,0,0,0,0
"MtrElec",1,6,11,"",268.99,0,0,0,56.753,0,0.163783,0,0,10.967,14.9655,0,0,6.8526,59.1677,0,15.0569,3.56618,87.8506,8.89831,4.74842,0,0,0,0
"MtrElec",1,6,12,"",247.582,0,0,0,50.1823,0,0.163783,0,0,10.967,14.9654,0,0,6.345,59.1677,0,15.3318,0.702988,75.2118,7.98725,6.55734,0,0,0,0
"MtrElec",1,6,13,"",237.86,0,0,0,50.6304,0,0.163783,0,0,10.967,14.9654,0,0,5.3298,59.2479,0,15.7683,4.94971,67.5112,0.412509,7.91404,0,0,0,0
